+-------+------------+-----------+----------+---------+
| Epoch | Train Loss | Train Acc | Val Loss | Val Acc |
+-------+------------+-----------+----------+---------+
|   1   |   2.384    |   40.772  |  1.537   |  60.313 |
|   2   |   1.433    |   61.464  |  1.186   |  69.124 |
|   3   |   1.149    |   68.76   |  0.964   |  74.77  |
|   4   |   0.971    |   73.432  |  0.833   |  78.133 |
|   5   |    0.86    |   76.346  |  0.747   |  80.537 |
|   6   |   0.783    |   78.299  |  0.683   |  81.822 |
|   7   |   0.722    |   79.781  |  0.642   |  83.037 |
|   8   |   0.675    |   80.94   |  0.609   |  83.632 |
|   9   |   0.638    |   81.958  |  0.572   |  84.68  |
|   10  |   0.606    |   82.853  |  0.545   |  85.39  |
|   11  |   0.578    |   83.784  |  0.522   |  85.959 |
|   12  |   0.552    |   84.628  |  0.507   |  86.432 |
|   13  |   0.525    |   85.34   |  0.485   |  87.04  |
|   14  |   0.508    |   85.719  |  0.467   |  87.34  |
|   15  |   0.486    |   86.411  |  0.451   |  87.916 |
|   16  |   0.469    |   86.718  |  0.436   |  88.012 |
|   17  |    0.45    |   87.42   |   0.43   |  88.28  |
|   18  |   0.436    |   87.781  |  0.414   |  88.76  |
|   19  |   0.415    |   88.176  |  0.404   |  89.047 |
|   20  |   0.402    |   88.667  |  0.387   |  89.361 |
|   21  |    0.39    |   89.051  |  0.379   |  89.508 |
|   22  |   0.375    |   89.431  |  0.373   |  89.821 |
|   23  |   0.365    |   89.746  |  0.365   |  89.987 |
|   24  |   0.356    |   90.018  |  0.355   |  90.32  |
|   25  |   0.344    |   90.299  |  0.347   |  90.659 |
+-------+------------+-----------+----------+---------+
